Ref,Val,Package,PosX,PosY,Rot,Side
"C4","33nF","C_0805_2012Metric",160.000000,-32.200000,180.000000,bottom
"C7","1µF","C_0805_2012Metric",161.000000,-38.000000,180.000000,bottom
"C17","0.1µF","C_0805_2012Metric",133.335000,-87.075000,90.000000,bottom
"C30","0.1µF","C_0805_2012Metric",136.150000,-109.337500,180.000000,bottom
"C31","20pF","C_0805_2012Metric",136.500000,-118.700000,180.000000,bottom
"C32","20pF","C_0805_2012Metric",125.650000,-118.900000,0.000000,bottom
"C33","0.1µF","C_0805_2012Metric",144.350000,-93.800000,0.000000,bottom
"C34","0.1µF","C_0805_2012Metric",129.300000,-97.837500,-90.000000,bottom
"C35","0.1µF","C_0805_2012Metric",128.300000,-103.837500,180.000000,bottom
"C36","0.1µF","C_0805_2012Metric",144.600000,-107.050000,-90.000000,bottom
"C37","0.1µF","C_0805_2012Metric",131.000000,-109.237500,180.000000,bottom
"C38","4.7µF","C_0805_2012Metric",144.350000,-91.500000,0.000000,bottom
"D2","1.25V","D_SOD-523",164.000000,-38.000000,180.000000,bottom
"J6","Conn_01x02","Molex-43650-0212",203.982500,-114.000000,90.000000,bottom
"J9","Conn_01x02","Molex-43650-0212",203.882500,-49.000000,90.000000,bottom
"J11","Conn_01x02","Molex-43650-0212",203.882500,-65.000000,90.000000,bottom
"J13","Conn_01x02","Molex-43650-0212",203.982500,-81.000000,90.000000,bottom
"J16","Conn_01x02","Molex-43650-0212",204.082500,-97.000000,90.000000,bottom
"J18","Conn_01x02","Molex-43650-0212",203.882500,-33.100000,90.000000,bottom
"R2","1M","R_0402_1005Metric",164.300000,-32.200000,180.000000,bottom
"R33","R_Small","R_0805_2012Metric",142.500000,-86.200000,-90.000000,bottom
"R34","120","R_0805_2012Metric",138.247500,-83.175000,180.000000,bottom
"R58","10k","R_0805_2012Metric",146.400000,-101.487500,90.000000,bottom
"U2","MAX3051","SOIC-8_3.9x4.9mm_P1.27mm",138.335000,-88.175000,90.000000,bottom
"U23","STM32L476RGTx","LQFP-64_10x10mm_P0.5mm",137.300000,-100.837500,90.000000,bottom
"Y2","8MHz","Crystal_SMD_HC49-SD_HandSoldering",130.600000,-114.800000,180.000000,bottom
