Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1µF","C_0805_2012Metric",155.475000,-54.000000,0.000000,top
"C2","2.2µF","C_1210_3225Metric",156.475000,-58.000000,0.000000,top
"C3","680pF","C_0402_1005Metric",161.600000,-27.290000,90.000000,top
"C5","22pF","C_0402_1005Metric",157.600000,-31.700000,90.000000,top
"C6","150pF","C_0402_1005Metric",157.000000,-33.300000,180.000000,top
"C8","0.1µF","C_0805_2012Metric",167.000000,-37.900000,0.000000,top
"C9","47µF","CP_Elec_6.3x5.8",165.000000,-59.000000,180.000000,top
"C10","2.2µF","C_1210_3225Metric",173.525000,-57.500000,0.000000,top
"C11","2.2µF","C_1210_3225Metric",173.525000,-61.750000,0.000000,top
"C12","2.2µF","C_1210_3225Metric",173.525000,-66.000000,0.000000,top
"C13","0.1µF","C_0402_1005Metric",147.420000,-88.300000,0.000000,top
"C14","47µF","C_1210_3225Metric",143.675000,-89.700000,180.000000,top
"C15","47µF","CP_Elec_6.3x5.8",152.000000,-96.500000,-90.000000,top
"C16","0.1µF","C_0603_1608Metric",148.300000,-83.100000,180.000000,top
"C18","2.7µF","C_2220_5750Metric",146.200000,-79.100000,180.000000,top
"C40","10µF","C_1210_3225Metric",142.800000,-71.125000,90.000000,top
"C41","4.7µF","C_1210_3225Metric",153.300000,-70.775000,90.000000,top
"C42","0.1µF","C_1210_3225Metric",137.600000,-71.100000,90.000000,top
"D3","LED_Small","LED_0805_2012Metric",133.600000,-87.300000,-90.000000,top
"D5","LED_Small","LED_0805_2012Metric",130.600000,-87.300000,-90.000000,top
"F4","Fuse_Small","Fuse_1206_3216Metric",150.000000,-54.800000,180.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",116.300000,-32.300000,90.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",154.300000,-65.700000,90.000000,top
"J4","RJ45","RJ45_Amphenol_RJHSE5380",118.620000,-83.448000,90.000000,top
"J5","RJ45","RJ45_Amphenol_RJHSE5380",118.720000,-104.416000,90.000000,top
"J7","Conn_01x02","Molex-43650-0212",203.982500,-81.000000,-90.000000,top
"J8","Conn_01x02","Molex-43650-0212",203.882500,-49.000000,-90.000000,top
"J10","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",131.000000,-32.300000,90.000000,top
"J12","Conn_01x02","Molex-43650-0212",203.882500,-65.000000,-90.000000,top
"J14","Conn_01x02","Molex-43650-0212",203.982500,-114.000000,-90.000000,top
"J15","Conn_01x02","Molex-43650-0212",204.082500,-97.000000,-90.000000,top
"J17","Conn_01x02","Molex-43650-0212",203.882500,-33.100000,-90.000000,top
"J20","Conn_01x03","LCB60PW-M",146.750000,-52.948000,-90.000000,top
"K1","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",147.600000,-107.920000,0.000000,top
"K2","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",182.782500,-97.380000,90.000000,top
"K3","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",161.920000,-77.800000,90.000000,top
"K4","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",161.900000,-87.480000,90.000000,top
"K5","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",161.800000,-97.400000,90.000000,top
"K6","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",161.800000,-107.600000,90.000000,top
"K7","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",182.582500,-117.380000,90.000000,top
"K8","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",161.712500,-117.522500,90.000000,top
"K10","EC2-24NU","Relay_DPDT_Kemet_EC2_NU",182.682500,-107.460000,90.000000,top
"K13","G2RL-1-H","Relay_SPDT_Omron_G2RL-1",191.500000,-82.500000,180.000000,top
"K14","G2RL-1-H","Relay_SPDT_Omron_G2RL-1",191.787500,-51.737500,180.000000,top
