Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"J17,J7,J14,J12,J15,J8,J11,J18,J6,J9,J13,J16",Molex-43650-0212,12,Conn_01x02,https://www.mouser.de/ProductDetail/Molex/43650-0212?qs=zi95yC3thwGsNF9etovFgw%3D%3D&srsltid=AfmBOortnXNk4Mce6ubjLLHMWR3kNv_R8FS08kwEEObd5EqZymAFkvSh
2,"Q14,Q15,Q7,Q12,Q9,Q10,Q16,Q18,Q8,Q11,Q13",SOT-23,11,2N7002,https://www.mouser.de/ProductDetail/Microchip-Technology/2N7002-G?qs=D%2FHwGy7fPj%2F0m3YgJ%252BOEvg%3D%3D&utm_id=22433149181&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22426719243&gbraid=0AAAAADn_wf3meEgRy8mApPw4HS-rLdhut&gclid=Cj0KCQjwuvrBBhDcARIsAKRrkjfY_BC7yqBevD381hlMfWBPG1PkQnjxglKz1rsYrS0ck3ErTfPX3i4aAtCnEALw_wcB
3,C42,C_1210_3225Metric,1,0.1µF,-
4,J10,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,-
5,C18,C_2220_5750Metric,1,4.7µF,https://www.mouser.de/ProductDetail/KYOCERA-AVX/KGM55ZR72A475MV?qs=OcgtsXO%252B3guqfaZI2wt1hQ%3D%3D
6,"Q2,Q1",VSONP-8-1EP_5x6_P1.27mm,2,NMOS,
7,C5,C_0402_1005Metric,1,22pF,
8,R1,R_0805_2012Metric,1,0,-
9,"K3,K6,K1,K5,K7,K10,K2,K4,K8",Relay_DPDT_Kemet_EC2_NU,9,EC2-24NU,
10,"C2,C10,C11,C12",C_1210_3225Metric,4,2.2µF,
11,"J4,J5",RJ45_Amphenol_RJHSE5380,2,RJ45,
12,"C8,C1,C17,C30,C36,C34,C35,C37,C33",C_0805_2012Metric,9,0.1µF,
13,C14,C_1210_3225Metric,1,47µF,
14,C6,C_0402_1005Metric,1,150pF,
15,"C9,C15",CP_Elec_6.3x5.8,2,47µF,
16,R8,R_0402_1005Metric,1,143k,
17,R4,R_0402_1005Metric,1,52.3k,
18,R10,R_0402_1005Metric,1,221k,
19,J20,LCB60PW-M,1,Conn_01x03,
20,L2,L_Vishay_IHLP-2525,1,6.8µH,
21,R13,R_0805_2012Metric,1,32k,
22,"D5,D3",LED_0805_2012Metric,2,LED_Small,
23,"R5,R3",R_0805_2012Metric,2,1k,
24,"J3,J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
25,F4,Fuse_1206_3216Metric,1,Fuse_Small,
26,C3,C_0402_1005Metric,1,680pF,
27,R12,R_0805_2012Metric,1,100k,
28,C41,C_1210_3225Metric,1,4.7µF,
29,C13,C_0402_1005Metric,1,0.1µF,
30,U1,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.74x3.86mm,1,LM5118MH,
31,R6,R_0805_2012Metric,1,1.96k,
32,R7,R_0402_1005Metric,1,5.23k,
33,U3,SOT-23-6,1,LMR51430,
34,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,3m,
35,C40,C_1210_3225Metric,1,10µF,
36,"K14,K13",Relay_SPDT_Omron_G2RL-1,2,G2RL-1-H,
37,C16,C_0603_1608Metric,1,0.1µF,
38,L1,L_Vishay_IHLP-5050,1,5.6uH,
39,R11,R_0805_2012Metric,1,11.8k,
40,C38,C_0805_2012Metric,1,4.7µF,
41,C4,C_0805_2012Metric,1,33nF,
42,R2,R_0402_1005Metric,1,1M,
43,R33,R_0805_2012Metric,1,R_Small,
44,U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
45,R34,R_0805_2012Metric,1,120,
46,U23,LQFP-64_10x10mm_P0.5mm,1,STM32L476RGTx,
47,R58,R_0805_2012Metric,1,10k,
48,Y2,Crystal_SMD_HC49-SD_HandSoldering,1,8MHz,
49,D2,D_SOD-523,1,1.25V,
50,"C32,C31",C_0805_2012Metric,2,20pF,
51,C7,C_0805_2012Metric,1,1µF,
