Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"L5,L3",L_Wuerth_HCI-1890,2,10�H,https://www.mouser.de/ProductDetail/Wurth-Elektronik/78439370100?qs=Znm5pLBrcALJdf%2F0qW3A9g%3D%3D
2,"R42,R23,R55,R60,R58,R65,R54,R43,R66,R59,R37,R46",R_0805_2012Metric,12,10k,https://www.mouser.de/ProductDetail/Panasonic/ERA-6AED103V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FvMJpaQwoquY%3D
3,"C52,C20,C50,C40,C18,C33,C53,C30,C23,C37,C39,C35,C36,C46,C51,C41,C54,C34,C24,C17,C29,C47",C_0805_2012Metric,22,0.1�F,https://www.mouser.de/ProductDetail/Walsin/0805B104M160CT?qs=ZrPdAQfJ6DM9zzBI4xh7uQ%3D%3D
4,"R69,R21,R70,R35,R22,R36",R_0805_2012Metric,6,100,https://www.mouser.de/ProductDetail/Vishay-Draloric/RCG0805100RJNEA?qs=sGAEpiMZZMtlubZbdhIBIJNDenHx0ZvQZ%252BCzEFYUsQs%3D
5,"R24,R3,R38,R1,R4,R2,R6,R5",R_0805_2012Metric,8,1k,https://www.mouser.de/ProductDetail/Bourns/CRT0805AFY-1001ELF?qs=sGAEpiMZZMtlubZbdhIBIKn8wLs5z3UnGRHSDKygkKk%3D
6,"F2,F3",L_Cenker_CKCS8080,2,Fuse_Small,https://www.mouser.de/ProductDetail/Wurth-Elektronik/78439370100?qs=Znm5pLBrcALJdf%2F0qW3A9g%3D%3D
7,"C26,C28,C43,C45",C_1210_3225Metric,4,10�F,https://www.mouser.de/ProductDetail/Walsin/1210X106K160CT?qs=fIkAfuXiAQJEKMCu6%252BCB3Q%3D%3D
8,"D14,D21",D_SOD-523,2,ESD9B3.3ST5G,https://www.mouser.de/ProductDetail/Littelfuse/SMBJ13A?qs=HR2RnyOI4E7jYyaNBU0w0w%3D%3D&srsltid=AfmBOor6_agX3vir1GVOfC2EUzzLngFgs9YFDGWrTlkz9UynbndBGqlu
9,"R33,R17",R_0805_2012Metric,2,R_Small,
10,"U37,U34,U41,U22",SC-74-6_1.55x2.9mm_P0.95mm,4,~,https://www.mouser.de/ProductDetail/Texas-Instruments/SN74LVC2G34MDCKREP?qs=l4wu3mKjyfmQ87%252BWHVxJDg%3D%3D
